UserName,ScreenName,Location,TweetAt,OriginalTweet,Sentiment
3817,48769,North America,16-03-2020,"Amazon Glitch Stymies Whole Foods, Fresh Grocery Deliveries
As COVID-19 has spread, weve seen a significant increase in people shopping online for groceries, a spokeswoman said in a statement. Today this resulted in a systems impact affecting our ...
 https://t.co/TbzZ2MC3b3",Extremely Positive
3818,48770,"Denver, CO",16-03-2020,"For those who aren't struggling, please consider donating to a food bank or a nonprofit. The demand for these services will increase as COVID-19 impacts jobs, and people's way of life.",Positive
3819,48771,southampton soxx xxx,16-03-2020,with 100  nations inficted with  covid  19  the world must  not  play fair with china  100 goverments must demand  china  adopts new guilde  lines on food safty  the  chinese  goverment  is guilty of  being  irosponcible   with life  on a global scale,Extremely Negative
3820,48772,Global,16-03-2020,"https://t.co/AVKrR9syff

The COVID-19 coronavirus pandemic is impacting consumer shopping behavior, purchase decisions and retail sales, according to a First Insight study.",Neutral
3821,48773,,16-03-2020,"We have AMAZING CHEAP DEALS! FOR THE #COVID2019 going on to help you???
#Trials
#Monthly
#Yearly 
And Resonable #Prices / #Subscriptions
Just DM US! #bestiptv #iptv #Service #Iptv #iptvdeals #Cheap #ipTV #Football #HD #Movies #Adult #Cinema #hotmovies #iptvnew #iptv2020 #Adult",Extremely Positive
3822,48774,,16-03-2020,"We have AMAZING CHEAP DEALS! FOR THE #COVID2019 going on to help you???
#Trials
#Monthly
#Yearly 
And Resonable #Prices / #Subscriptions
Just DM US! #bestiptv #iptv #Service #Iptv #iptvdeals #Cheap #ipTV #Football #HD #Movies #Adult #Cinema #hotmovies #ipTv IPTVLinks #18Movies",Extremely Positive
3823,48775,Downstage centre,16-03-2020,@10DowningStreet @grantshapps what is being done to ensure food and other essential products are being re-stocked at supermarkets and panic buying actively discouraged? It cannot be left to checkout staff to police the actions of the selfish and profiteer,Negative
3824,48776,London,16-03-2020,UK #consumer poll indicates the majority expect #covid19's impact to last 4-12 months (at 12 March). We expect this to increase at the next #tracker... See full results of the @RetailX Coronavirus Consumer Confidence Tracker here: https://t.co/K3uJlcjqDB https://t.co/9G3kgqIXJ8,Extremely Positive
3825,48777,"Ketchum, Idaho",16-03-2020,"In preparation for higher demand and a potential food shortage, The Hunger Coalition purchased 10 percent more food and implemented new protocols due to the COVID-19 coronavirus. https://t.co/5CecYtLnYn",Negative
3826,48778,Everywhere You Are!,16-03-2020,"This morning I tested positive for Covid 19. I feel ok, I have no symptoms so far but have been isolated since I found out about my possible exposure to the virus.  Stay home people and be pragmatic. I will keep you updated on how Im doing ???? No panic. https://t.co/Lg7HVMZglZ",Extremely Negative
3827,48779,"New York, NY",16-03-2020,"Do you see malicious price increases in NYC? The NYC Department of Consumer and Worker Protection (DCWP) has set up a page to digitally file a complaint. Click here: https://t.co/oEx6Y8mm2K

To file a complaint (use the word""Overcharge"") https://t.co/MdMmoBttOP
#COVID19 #CovidNYC",Negative
3828,48780,"Someplace, USA",16-03-2020,"@7SealsOfTheEnd Soon with dwindling supplies unlawful Panicky people will be breaking into Closed Stores &amp; Supermarkets to Raid them as they normally do during a Crisis so massive as the #Coronavirus

#StockUp&amp;LockUp",Extremely Negative
3829,48781,,16-03-2020,There Is of in the Country  The more empty shelves people see the more buying ensues the more food is out of stock,Negative
3830,48782,,16-03-2020,"'Hole' Foods...

...images from the nicest grocery store in one of the richest neighborhoods in the United States.

https://t.co/WnQSoMtkVI

#BreakingNews #Breaking #Coronavirus #CoronavirusOutbreak #COVID19 #COVID?19 #COVID_19 #COVID2019 #Collapse",Extremely Positive
3831,48783,"Markham, Ontario",16-03-2020,"Retail store closures could explode because of the #coronavirus (via @CNBC). #BrickAndMortar

https://t.co/hQrYRNXFhv https://t.co/g5UZn06gb6",Neutral
3832,48784,"Virginia, USA",16-03-2020,"Coronavirus fun fact: if you cough at the grocery store, you get the whole aisle to yourself pretty quickly.
#CoronavirusOutbreak #coronavirus #COVID2019",Extremely Positive
3833,48785,"London, England",16-03-2020,"We're sorry to say that our @FinFabUK event is being cancelled due to Covid-19. The health and wellbeing of our attendees, speakers and staff is our top priority. Apologies for any disappointment this may cause. All FAQs are answered in the link below:
https://t.co/GDDPTudCvj",Negative
3834,48786,Sverige,16-03-2020,Went to the supermarket yesterday and the toilet paper was gone. Has this anything to do with the Corona virus? #COVID2019,Neutral
3835,48787,Where The Wild Things Are,16-03-2020,"Yes, buy only what you need.

But what's the point of posting photos of those people in the supermarket with a load of stuff? They could be buying for all their elderly parents, kids, siblings, etc who can't buy for themselves

Not everything needs to be viral, Covid-19 alr is",Positive
3836,48788,Canada,16-03-2020,Worried about the impact of the current COVID-19 pandemic on your finances? Weve just published some tips to help you manage your money during these challenging times. #COVID19 https://t.co/3jKK3CqXfQ https://t.co/EbEnURmmJS,Positive
3837,48789,,16-03-2020,"my wife works retail&amp;a customer came in yesterday, coughing everywhere, saying they have CoVid-19. They requested a deep clean of the store - her company objected to due to cost, recommending the team spray disinfectant&amp;clean themselves. we're gonna die/get sick due to capitalism",Negative
3838,48790,United States,16-03-2020,Now I can go to the supermarket like this without being judged! ? #CoronavirusOutbreak #COVID2019 https://t.co/krTCGiUHQS,Positive
3839,48791,"Fort Worth, Texas",16-03-2020,"We're here to provide a safe shopping experience for our customers and a healthy environment for our associates and community!
Online orders can be placed here: https://t.co/dCSXHUj3U0

#jlmco #jlmcobrand #coronapocolypse #coronavirus #CoronavirusOutbreak  #COVID19 #shoponline https://t.co/riNKwskeRS",Extremely Positive
3840,48792,,16-03-2020,"Curious,  do we think retail shoppers will do a lot of online shopping bc they're home and unable to go out or do we think everyone is too spooked to get that extra pair of shoes? #economy #onlineshopping #coronavirus #covid19 #stayhome",Positive
3841,48793,Houston,16-03-2020,CHECK VIDEO ?? https://t.co/1ksn9Brl02 ??No food ? in USA market due to coronavirus panic we gonna die from starvation #CoronavirusOutbreak #coronavirus #houston #nofood #Notoiletpaper #NoHandShakes #nohandsanitizer #COVID19 #pandemic #totallockdown #COVID2019usa #walmart https://t.co/ztN3iMkgpD,Extremely Negative
3842,48794,"Vancouver, British Columbia",16-03-2020,Breaking Story: Online clothes shopping rises as people find mysterious white patches forming on clothes. #QuarantineLife #CoronavirusOutbreak #coronavirus #IMadeThisUp #FakeNews https://t.co/5Z24hptT9M,Neutral
3843,48795,,16-03-2020,This is the line outside  @Target  in as customers wait for the store to open this morning,Neutral
3844,48796,Midrand,16-03-2020,"South Africans stock up on food, basic goods as coronavirus panic hits https://t.co/6nGNFJmy89

#CoronaVirusSA 
#Covid_19 https://t.co/pzirO10avf",Negative
3845,48797,Drogheda,16-03-2020, Please Share  Know someone who s 65 Living on their own struggling to get 2 their local supermarket due to issues around 19 We re offering FREE deliveries of our healthy soups NATIONWIDE to anyone 65 in need Plus their freezable,Extremely Positive
3846,48798,"Columbia, MO",16-03-2020,"People posting and sharing photos of of half to completely empty shelves calling those people ""dumb"" or ""idiots."" All while shopping at the grocery store. lol

#coronavirus #COVID19",Positive
3847,48799,"Arkansas, USA",16-03-2020,"Never thought I'd say this, but. 2019, Will you come back!? PLEASE! #coronavirus #COVID19 #peoplearelosingtheirminds #StopTheMadness #stoppanicbuying",Extremely Positive
3848,48800,"Washington, DC",16-03-2020,"COVID-19 restrictions sparking a run on cannabis stores

They're not closed yet! But Customers are stocking up on cannabis this weekend, preparing for what could be more retail store restrictions in coming days. https://t.co/WMqR8QWoiG",Neutral
3849,48801,"Washington, DC",16-03-2020,"""Everything were seeing in the current COVID-19 outbreak has been seen before in previous epidemics and pandemics; the rise of fear, racism, panic buying of food and medicines, conspiracy theories, the proliferation of quack cures"" https://t.co/Pr8NpKX41A",Extremely Negative
3850,48802,"Ohio, USA",16-03-2020,"Everyone is closed, but we remain open because we are an emergency store. Thank your retail workers.

#covid_19 #pandemic #socialdistancing #retail https://t.co/WtB0B1AMON",Neutral
3851,48803,"Ogden, UT",16-03-2020,"Why we stock up on water... cause utility companies will shut you off in the middle of a pandemic... the schools close thier doors, you lose out on work cause your kid has no where to go... and you cant afford months worth of food. #coronavirus @SenatorRomney https://t.co/0CV0793olS",Negative
3852,48804,,16-03-2020,"Dear Coronavirus, 
I've been following social distancing rules and staying home to prevent the spread of you.  However, now I've spent an alarming amount of money shopping online.  Where can I submit my expenses to for reimbursement? Let me know.
#coronapocolypse #coronavirus",Positive
3853,48805,,16-03-2020,Global food prices before the spread of COVID 19 intensified across several geographies We could see further downward pressures in the coming months due to continued well supplied markets and the negative impact on demand resulting from the virus,Extremely Negative
3854,48806,"West Midlands, England",16-03-2020,Morning everyone have a great and safe day. ??? #coronavirus #StopPanicBuying #BeKind #mufc #MUFC_Family,Extremely Positive
3855,48807,"Reno, NV",16-03-2020,"Of all the things to panic buy in an emergency, I don't get why toilet paper is so important. If you're afraid of the worst case scenario, just wash up in the tub and use your money on food. Y'all crazy. #coronavirus",Extremely Negative
3856,48808,San Clemente,16-03-2020,"THANK YOUR GROCERY CLERK!
Went to grocery store today and looked into the weary eyes of the clerk.
I thanked her and realized that she was thrust on the front line of this panick. A new breed of first responders? They are working hard to serve their communities. #coronavirus",Positive
3857,48809,,16-03-2020,"With the outbreak of Covid-19 in entire world, the retail shops in Malaysia is facing a great challenges. In the near future, online shopping will be a surprise way for all the people while many will lost their jobs. #Malaysia2020 #Malaysia #COVID?19",Extremely Positive
3858,48810,,16-03-2020,"My thoughts on impacts of coronavirus on food markets
https://t.co/bPodDdPRcE",Neutral
3859,48811,"Spokane Valley, WA",16-03-2020,"Consumer Corner: #Scammers Taking Advantage Of #COVID-19 Fears

#coronavirus #cdc #flu #trends #alert

https://t.co/sk9qCJsnYl https://t.co/T7qejP3hys",Negative
3860,48812,Drifter ,16-03-2020,"4. ""Both the masks made for medical personnel and for consumer purchase require a once-obscure material called melt-blown fabric.""

https://t.co/3hCd9IiWoX",Neutral
3861,48813,"Hamilton, Ontario",16-03-2020,"My work is capitalizing on the  demand for packaged food and making us stay open as opposed to closing for all our health and safety #LockdownCanada
#coronavirus",Positive
3862,48814,"Dallas, TX",16-03-2020,"So, are we feeling like it's ethical to still do stuff like order deliveries (food, online shopping, etc.), ship ""isolation"" care packages to loved ones, etc.? #COVID2019",Extremely Positive
3863,48815,Boston,16-03-2020,What 2K Consumers Told PYMNTS About How COVID-19 Changed Their Daily Lives https://t.co/Ybg8Zupdf6 via @pymnts,Neutral
3864,48816,,16-03-2020,Bought a house during Covid-19 panic. Didnt think to buy food for the house. Tragic.,Extremely Negative
3865,48817,The European Union,16-03-2020,Seen in a Facebook group - businesses need to stop increasing prices on essentials while we are in an emergency situation - its frankly despicable and is totally void community spirit! #nameandshame #covid?19uk #coronavirus #Liverpool https://t.co/StTAkyqQiZ,Negative
3866,48818,"London, England",16-03-2020,"@BobJLowe Sadly those are the misinformed thinking that COVID-19 gives diarrhoea, therefore they had to stock-pile toilet papers. ? ATM, hygiene and food are more important.",Negative
3867,48819,Melissa Schuman is a Liar ??,16-03-2020,@TinaMcCauley70 Yeah my parents are risky people to the covid 19 thats why we stay at home just go to the supermarket when really necessary.. stay safe too ....,Positive
3868,48820,"Canvey Island, Essex, UK",16-03-2020,"CN - #Coronavirus #COVID19 

I will be in the group (and so will my Mum, who I live with) in the group that needs to be ""shielded"" for 12 weeks (3 months). This will mean staying in. I hope I can still get the online shopping that I need.",Positive
3869,48821,NCSU,16-03-2020,"Its kind of like how saying a word over and over makes it not sound like a word anymore.

For many of the people who dont think the COVID-19 news is BS, its making them go to the stores and panic buy food and basic necessities until theres nothing left.",Neutral
3870,48822,,16-03-2020,"Hi, COVID-19. Thanks for making me do more online shopping.",Positive
3871,48823,,16-03-2020,"Corona scare sends sea-food prices skyrocketing in Mumbai

&gt;&gt; https://t.co/GB11EFBYIB 

#seafood #coronavirus #CoronavirusOutbreak #CoronavirusReachesDelhi #Coronavid19 #CoronaVirusUpdates #COVID2019 #COVID19 #JhalakBollywood #JhalakKollywood #JhalakTollywood https://t.co/U5Dg3LoFYG",Neutral
3872,48824,"Morgantown, WV",16-03-2020,Pausing student loan payments in addition to halting interest accumulation amp stopping punitive student loan collections would provide much needed immediate relief to those individuals unable to work amp are facing economic hardship,Neutral
3873,48825,,16-03-2020,"@balajis On the consumer side - the tech is there (some Chinese group already demostrated ELISA test strips for COVID-19, though details were lacking). For consumer though @US_FDA would have to deem it as a waived test, which doesnt come that easily",Positive
3874,48826,MA & New England by way of CA,16-03-2020,Lost wages either due to illness from 19 or to the virus  economic impact will mean an increased demand We urge and to support a bill that includes support for food banks flexibility for and school meals and increased,Extremely Positive
3875,48827,"Napa, Ca",16-03-2020,"The actions of some are so selfish. If I were CEO of a grocery store, from 7-9 am would be a time for people over 65 to shop; show ID. I just saw a young couple with 300 rolls of tp. No one is that full of crap. Well maybe

#CoronavirusOutbreak 

 https://t.co/Hrbzmh95VQ",Extremely Negative
3876,48828,New York City,16-03-2020,Coronavirus poses a complex puzzle for food-delivery companies - their delivery capacity may buckle under surging demand. https://t.co/1C1cMLmQii via @WSJ #services #food #delivery #coronavirus,Negative
3877,48829,Cornwall England,16-03-2020,"@TheJoshuaTurner @Loreign83 @peanut_astro @my_amigouk @afneil @BorisJohnson @patel4witham This is both disgusting and disgraceful charging over inflated prices for items for stopping the spread of COVID-19, the government really needs to do something abou",Extremely Negative
3878,48830,"Boston, MA",16-03-2020,"As more retailers close physical stores or curtail hours as a result of Covid-19, it is agoing to put additional pressure on other omnichannel alternatives like grocery delivery and curbside pick up.  https://t.co/kgyDow3Nrz #covid19 #ecommerce #omnichannel #retail #digital",Positive
3879,48831,"Whittier, CA",16-03-2020,"Check out what these folks are up to here in So Cal ? I like this idea ?

La Habra supermarket offers special hours for seniors amid COVID-19 crisis https://t.co/ncTXF8TGyf",Positive
3880,48832,Great Wakering Essex,16-03-2020,"Love it or hate it, head advice @10DowningStreet &amp; @BorisJohnson 
Blip in our lives but its happening!
?? Dont whinge about what you cant do 
?? Dont panic buy as food wont run out
?? DO spend time with the family
?? DO use common sense
#coronavirus @WorldHealthOrg2",Positive
3881,48833,"Andersonville, Chicago, IL",16-03-2020,"An open letter to consumer-debt holding organizations and others: We are at the precipice of a crisis of household economy. Please suspend debts (and interest/fees) for sixty days in response to the COVID-19 crisis.

Feel free to sign here:

https://t.co/JMZZJOmNT9 https://t.co/YR2tcPx1Ee",Extremely Negative
3882,48834,"Sydney, Australia",16-03-2020,"#COVID?19 #COVID19Aus #coronavirus Just wanted to spread this news to all older Australians, particularly those still mobile but without family support: https://t.co/yDGX4lK8L0",Negative
3883,48835,"Boston, MA",16-03-2020,"Sadly, this does not surprise me
Heard from one payer exec that they are laying low, hoping all blows over. 

Mind bogglingly stupid and this was a nonprofit Blues plan! https://t.co/zr67d1u12Q",Extremely Negative
3884,48836,"Barnsley, England",16-03-2020,I work in retail I keep stock back for our older customers so when such as frank comes in store for his bread and he sees a empty shelve I say dont worry pal Ive saved you 1. Same as pat n her beans. Could I get disciplined? Yes do I care ? No Ive got a ?? #coronavirus,Positive
3885,48837,"Bangkok, Thailand",16-03-2020,In attempts to lengthen runways marketing budgets are being slashed hiring is being frozen and staffing matrices are being redrawn and dive deep into how consumer startups are battling the impact of on their business,Negative
3886,48838,"Windsor, Ontario, Canada.",16-03-2020,"...at this time, our distillery remains in operation, but we will not be offering public tours or hosting functions or events. Our retail store is also closed...""
https://t.co/lYZg2kfsm0",Neutral
3887,48839,"Los Angeles, mostly",16-03-2020,"Please don't hoard food and water. There's absolutely no need to panic buy; the supply chain is completely interrupted. And above all, please don't hoard sanitizing products; there are people out there who really need them, probably more than you. #DontPanicBuy #coronavirus",Negative
3888,48840,,16-03-2020,"The fact that canned food, toxic chemicals and store bought hand sanitizers are out of stock, yet fresh fruit, vegetables and herbs are FULLY stocked, shows that humans have no idea how the immune system works.
#QuarantineLife #COVID2019",Extremely Positive
3889,48841,"Houston, TX",16-03-2020,"Just called mum and dad in UK (over 70). They are great but I offered help with online shopping etc. We might sometimes forget that this is not always easy.

Do the same if you can. ??
If you are far from your parents like me Tech can be really useful. #COVID?19  #Coronavirus",Extremely Positive
3890,48842,KDH,16-03-2020,People seen stocking up on goods into trolleys after the panic buying rumours spread today at hypermarket in Kajang March 16 2020 Picture by Shafwan Zaidon,Negative
3891,48843,"Worcester, Massachusetts",16-03-2020,"As we often see during major news events, criminals will try to take advantage of any situation. The Coronavirus, or COVID-19, is no exception. Here is some guidance from the Attorney General's office: https://t.co/KT5J4QqCwS",Negative
3892,48844,"Leicester, England",16-03-2020,"Pretty sure within a week or two, supermarket supply chains will dry up as more counties are effected by Covid-19 (and possibly go into lockdown). If so, would the government introduce a form of rationing so that people can eat? Somehow I don't think so.",Extremely Positive
3893,48845,"Adelaide, South Australia",16-03-2020,"Supermarket workers are at the frontline of COVID-19.

These are extraordinary times and retail is under extreme pressure.

When shopping, please remain calm and thank the workers that are doing everything they can to keep the shelves stocked and the checkouts moving. https://t.co/0uHGM8gsp8",Positive
3894,48846,FREE goal setting guide ??,16-03-2020,"Worried about COVID-19? 

I more worried about people panicking.

Having a plan:

&gt; You're not panic buying food.
&gt; You can focus on the important issues. 
&gt; You have the best opportunity for a positive outcome.

Create structure, reduce key decisions. Flourish

Stay safe.",Extremely Positive
3895,48847,"Washington, DC",16-03-2020,".@kroger is the biggest supermarket chain in the United States.

It has 453,000 employees and many receive no sick leave.

Even after 2 employees tested positive for COVID-19, @kroger still won't provide paid sick leave to everyone

https://t.co/19uNybttHl",Positive
3896,48848,"Washington, DC",16-03-2020,"@kroger Instead of paid sick leave, @kroger is providing 2 weeks paid leave ONLY to people who test positive for COVID-19 or are placed under mandatory quarantine

This is insufficient to protect staff and the public, especially with little testing av",Positive
3897,48849,San Joaquin Valley CA,16-03-2020,I followed this when I went shopping a few days ago. It's a pain but necessary! Protect Yourself From Grocery Shopping - Consumer Reports #COVID2019 #StayHealthy https://t.co/48nG14me6E,Positive
3898,48850,Planet Earth,16-03-2020,"@joncoopertweets I took these pictures today at my home grocery store in Montgomery County, MD. No flour, sugar, sweet potatoes, potatoes, orange juice, paper towels, or toilet paper. Low on meat, mac &amp; cheese. #coronapocolypse #Covid_19 #panicbuying ",Negative
3899,48851,"Portsmouth, England",16-03-2020,"I hate grocery shopping in general but I swear Im doing it online next shop, can not deal with the swathes of panic buyers at all! #COVID?19 #coronavirus #coronavirusuk #anxiety #panicbuyinguk #morons",Extremely Negative
3900,48852,"London, UK and....",16-03-2020,Rapid delivery food order made (since no slots elsewhere for weeks). All seemed fine until email listing what was out of stock. They are about to deliver...one bottle of orange juice! #coronavirus #panicbuying #whatashitshow,Negative
3901,48853,,16-03-2020,"THANK YOU To all the grocery store employees for working so hard making sure everyone is getting what they need.
Please be kind to them its not their fault that we are short on supplies.
#Corona #covid_19 @ https://t.co/QC0uNeVQej",Extremely Positive
3902,48854,USA,16-03-2020,"This also needs to be said: going to the grocery store cannot be done completely safely. Meaning, without the risk of getting the #coronavirus or of spreading it. You can reduce risk by staying more than 6 ft from other people &amp; washing your hands, but you can't eliminate it. 1/3",Positive
3903,48855,I try to be politics free but will comment on Trump/GOP policy as the news is dominating tape.,16-03-2020,"Maybe the coming recession might play in three phases:
(1) Damage on main street by COVID-19 [ongoing]
(2) CB rescue, temp. recovery on credit mkt, but no recovery on consumer econ
(3) Unknown second shock later finally brings wall street down altogether
$SPX $RUT $NDX",Extremely Negative
3904,48856,,16-03-2020,You know it's the end of the world when @BootsUK Surgical Spirit is out of stock online and (won't be receiving any further stock) - How am I supposed to disinfect my hands now ? #coronavirus #coronapocolypse #panic #shopping https://t.co/iQIpUz50Sc,Extremely Positive
3905,48857,d.,16-03-2020,"This is getting real in my world and I know its been real in so many worlds. If you can, please sign this petition for food and bev people in Colorado!? https://t.co/xnmgljLOsV",Positive
3906,48858,"Abilene, TX",16-03-2020,"Amid 'social distancing' during COVID-19 crisis, Starbucks moves to 'to-go' only https://t.co/HbJDKnjPrD",Extremely Negative
3907,48859,"Abilene, TX",16-03-2020,"Abilene bar feels economic impact of COVID-19
https://t.co/YH5Oyx2VT4",Neutral
3908,48860,"Denver, CO",16-03-2020,"UPDATE: Make sure to check your local listings to see what is open/closed at what times.
Chick-fil-A (Drive through only)
Starbucks (Using to-go model)
Early closing include King Soopers, Sam's Club etc..
https://t.co/8yP3x1MH4h",Positive
3909,48861,"Los Angeles, CA",16-03-2020,A supermarket in La Habra is trying to help local seniors during the COVID-19 pandemic by opening its doors a half-hour early each day exclusively for shoppers 65 and older. https://t.co/6B0xjUUI0G,Positive
3910,48862,"Los Angeles, CA",16-03-2020,A supermarket in La Habra is trying to help local seniors during the COVID-19 pandemic by opening its doors a half-hour early each day exclusively for shoppers 65 and older.? https://t.co/U3An6bnU5L,Positive
3911,48863,,16-03-2020,"They should have something where the elderly and the people (who don't stock up a ton of food, essentials) can buy what they need first,  then  the more greedy and panick buyers can get what they need. ?? #stoppanickbuying #thinkingofothers #coronavirus #COVID19",Negative
3912,48864,Kansas,16-03-2020,"Kids Get Mild COVID-19 Symptoms, But Chance of Transmission High: Study https://t.co/MKxFtAk74d",Positive
3913,48865,"Fort Wayne, IN",16-03-2020,New @CSPI consumers guide examines how 20 largest restaurant chains by sales are handling paid sick leave during COVID-19 pandemic. Results not good: 60% didnt disclose any paid leave policy and only 3 chains offer sick leave at all locations nationwide https://t.co/YPJClnpMi2,Extremely Negative
3914,48866,Lots of different places,16-03-2020,"@SPARintheUK Can you confirm why in store signage says you're taking extra precautions in light of COVID-19, when staff are stating nothing is changing. 

What efforts are your management doing to protect your retail workers?  Speed is crucial here. ",Positive
3915,48867,"Berkshire, England",16-03-2020,"More idiots at work causing unnecessary problems of empty shelves in supermarket.
He's got enough rice to last him for 2 years.
#Covid_19 #panicshopping #pricegougers #Idiots https://t.co/F6K5c2S3bE",Negative
3916,48868,"Berkshire, England",16-03-2020,"It's fringing idiots like him who have caused prices to rise &amp; create shortages. He's also probably wasted a lot of money as some will have expiry dates.
Shopkeepers must use rationing to be fair to customers.
#Covid_19 #pricegougers #Hoarders #Idiots #panicbuying #selfishpeople https://t.co/TWlpw3q0mj",Positive
3917,48869,"Washington, DC",16-03-2020,"CONGRESS (TEMPORARILY?) PARALYZED 

 House still finalizing technical corrections to coronavirus bill
 @replouiegohmert currently holding it up anyway, insisting bill be read on the floor, which would require House returning 
 Senate fighting about other issues",Negative
3918,48870,"Long Beach, Calif., USA",16-03-2020,"The Consumer Financial Protection Bureau has reported that one employee tested positive for COVID-19. Federal financial regulators are mandating that most employees work from home. 
https://t.co/MhUu7mffPT",Positive
3919,48871,,16-03-2020,@AirCanada very poor customer service if you let the algorithms run the prices up in states of emergency and do not refund the cost. Also very poor staffing @Airport_FRA #COVID2019,Extremely Negative
3920,48872,,16-03-2020,"I love this ?? all grocery stores should have a set hour (preferably in the morning) for the elderly population or those with compromised immune systems to use the store. Thats good, clear thinking.
.
@brianschatz @maziehirono @NYGovCuomo @GovInslee 
#COVID?19 #coronavirus https://t.co/TMQH0CSeIN",Extremely Positive
3921,48873,,16-03-2020,"If you temporarily lost your job, check out Amazon. They are hiring to handle surge of coronavirus related buying. https://t.co/xQq7wqaGid",Negative
3922,48874,"Melbourne, Australia",16-03-2020,"@cgafun @DanielAndrewsMP My daughter is 16, and has stories like that from her friends with supermarket jobs. One of them said ""Why do adults act like COVID-19 is my fault?"". Or having to stand up to a middle-aged woman who refused to put back 5 boxes of ",Positive
